driver initialize
driver initialize
run: DateDifference_HardCoded_EdgeCases_Test(1, 1, 2000)-(2, 1, 2000) add end day: false [PASSED]
run: DateDifference_HardCoded_EdgeCases_Test(1, 1, 2000)-(2, 1, 2000) add end day: true [PASSED]
run: DateDifference_HardCoded_EdgeCases_Test(1, 1, 2000)-(7, 1, 2000) add end day: false [PASSED]
run: DateDifference_HardCoded_EdgeCases_Test(1, 1, 2000)-(7, 1, 2000) add end day: true [PASSED]
run: DateDifference_HardCoded_EdgeCases_Test(1, 1, 2000)-(31, 1, 2000) add end day: false [PASSED]
run: DateDifference_HardCoded_EdgeCases_Test(1, 1, 2000)-(31, 1, 2000) add end day: true [PASSED]
run: DateDifference_HardCoded_EdgeCases_Test(1, 1, 2000)-(1, 1, 2001) add end day: false [PASSED]
run: DateDifference_HardCoded_EdgeCases_Test(1, 1, 2000)-(1, 1, 2001) add end day: true [PASSED]
run: DateDifference_HardCoded_Sanity_Test(21, Nov, 1997)-(30, Oct, 2019) add end day: false [PASSED]
run: DateDifference_HardCoded_Sanity_Test(21, Nov, 1997)-(30, Oct, 2019) add end day: true [PASSED]
run: DateDifference_HardCoded_Sanity_Test(32, Nov, 1997)-(30, Oct, 2019) add end day: false [PASSED]
RandomNumberGeneratorTest:|  Indx |   low  |  high  |  num | dup | sort | type | per.|324 TCs in: RandomNumberGeneratorDataSet.txt
RandomNumberGeneratorTest:| 1     |-200.00 |-100.00 | 1    |true |Ascend| int  |1    | [PASSED]
RandomNumberGeneratorTest:| 2     |-200.00 |-100.00 | 1    |true |Ascend| int  |22   | [PASSED]
RandomNumberGeneratorTest:| 3     |-200.00 |-100.00 | 1    |true |Ascend| int  |99   | [PASSED]
RandomNumberGeneratorTest:| 4     |-200.00 |-100.00 | 1    |true |Ascend| dec  |1    | [PASSED]
RandomNumberGeneratorTest:| 5     |-200.00 |-100.00 | 1    |true |Ascend| dec  |22   | [PASSED]
RandomNumberGeneratorTest:| 6     |-200.00 |-100.00 | 1    |true |Ascend| dec  |99   | [PASSED]
RandomNumberGeneratorTest:| 7     |-200.00 |-100.00 | 1    |true |Decend| int  |1    | [PASSED]
RandomNumberGeneratorTest:| 8     |-200.00 |-100.00 | 1    |true |Decend| int  |22   | [PASSED]
RandomNumberGeneratorTest:| 9     |-200.00 |-100.00 | 1    |true |Decend| int  |99   | [PASSED]
RandomNumberGeneratorTest:| 10    |-200.00 |-100.00 | 1    |true |Decend| dec  |1    | [PASSED]
RandomNumberGeneratorTest:| 11    |-200.00 |-100.00 | 1    |true |Decend| dec  |22   | [PASSED]
RandomNumberGeneratorTest:| 12    |-200.00 |-100.00 | 1    |true |Decend| dec  |99   | [PASSED]
RandomNumberGeneratorTest:| 13    |-200.00 |-100.00 | 1    |true |None  | int  |1    | [PASSED]
RandomNumberGeneratorTest:| 14    |-200.00 |-100.00 | 1    |true |None  | int  |22   | [PASSED]
RandomNumberGeneratorTest:| 15    |-200.00 |-100.00 | 1    |true |None  | int  |99   | [PASSED]
RandomNumberGeneratorTest:| 16    |-200.00 |-100.00 | 1    |true |None  | dec  |1    | [PASSED]
RandomNumberGeneratorTest:| 17    |-200.00 |-100.00 | 1    |true |None  | dec  |22   | [PASSED]
RandomNumberGeneratorTest:| 18    |-200.00 |-100.00 | 1    |true |None  | dec  |99   | [PASSED]
RandomNumberGeneratorTest:| 19    |-200.00 |-100.00 | 1    |false|Ascend| int  |1    | [PASSED]
RandomNumberGeneratorTest:| 20    |-200.00 |-100.00 | 1    |false|Ascend| int  |22   | [PASSED]
RandomNumberGeneratorTest:| 21    |-200.00 |-100.00 | 1    |false|Ascend| int  |99   | [PASSED]
RandomNumberGeneratorTest:| 22    |-200.00 |-100.00 | 1    |false|Ascend| dec  |1    | [PASSED]
RandomNumberGeneratorTest:| 23    |-200.00 |-100.00 | 1    |false|Ascend| dec  |22   | [PASSED]
RandomNumberGeneratorTest:| 24    |-200.00 |-100.00 | 1    |false|Ascend| dec  |99   | [PASSED]
RandomNumberGeneratorTest:| 25    |-200.00 |-100.00 | 1    |false|Decend| int  |1    | [PASSED]
RandomNumberGeneratorTest:| 26    |-200.00 |-100.00 | 1    |false|Decend| int  |22   | [PASSED]
RandomNumberGeneratorTest:| 27    |-200.00 |-100.00 | 1    |false|Decend| int  |99   | [PASSED]
RandomNumberGeneratorTest:| 28    |-200.00 |-100.00 | 1    |false|Decend| dec  |1    | [PASSED]
RandomNumberGeneratorTest:| 29    |-200.00 |-100.00 | 1    |false|Decend| dec  |22   | [PASSED]
RandomNumberGeneratorTest:| 30    |-200.00 |-100.00 | 1    |false|Decend| dec  |99   | [PASSED]
RandomNumberGeneratorTest:| 31    |-200.00 |-100.00 | 1    |false|None  | int  |1    | [PASSED]
RandomNumberGeneratorTest:| 32    |-200.00 |-100.00 | 1    |false|None  | int  |22   | [FAILED]
